Original Path,New Path,New Filename,IEEE Section,Action,Priority,Notes
# Issue Reproductions (keep original names, just move)
planv_tests/feature_tests/constrained_random/case_from_issues/t_fuxian.sv,planv_tests/feature_tests/randomization/special_cases/issue_reproductions/,t_issue_fuxian_randomize_basic.sv,N/A,RENAME_MOVE,HIGH,Fuxian's randomize bug reproduction
planv_tests/feature_tests/constrained_random/case_from_issues/t_fuxian_inherit.sv,planv_tests/feature_tests/randomization/special_cases/issue_reproductions/,t_issue_fuxian_inherit.sv,N/A,MOVE,HIGH,Fuxian's inheritance issue
planv_tests/feature_tests/constrained_random/case_from_issues/t_fuxian_pkg.sv,planv_tests/feature_tests/randomization/special_cases/issue_reproductions/,t_issue_fuxian_pkg.sv,N/A,MOVE,HIGH,Fuxian's package issue
planv_tests/feature_tests/constrained_random/case_from_issues/t_fuxian_randclass.sv,planv_tests/feature_tests/randomization/special_cases/issue_reproductions/,t_issue_fuxian_randclass.sv,N/A,MOVE,HIGH,Fuxian's rand class issue
planv_tests/feature_tests/constrained_random/case_from_issues/t_fuxian_simple.sv,planv_tests/feature_tests/randomization/special_cases/issue_reproductions/,t_issue_fuxian_simple.sv,N/A,MOVE,HIGH,Fuxian's simple case
planv_tests/feature_tests/constrained_random/case_from_issues/t_fuxian_uvm_components.sv,planv_tests/feature_tests/randomization/special_cases/issue_reproductions/,t_issue_fuxian_uvm_components.sv,N/A,MOVE,HIGH,Fuxian's UVM components issue
planv_tests/feature_tests/constrained_random/case_from_issues/t_fuxian_uvm.sv,planv_tests/feature_tests/randomization/special_cases/issue_reproductions/,t_issue_fuxian_uvm.sv,N/A,MOVE,HIGH,Fuxian's UVM issue
planv_tests/feature_tests/constrained_random/case_from_issues/t_issue_1800.sv,planv_tests/feature_tests/randomization/special_cases/issue_reproductions/,t_issue_1800.sv,N/A,MOVE,HIGH,Issue #1800 reproduction
planv_tests/feature_tests/constrained_random/case_from_issues/t_issue_6740.sv,planv_tests/feature_tests/randomization/special_cases/issue_reproductions/,t_issue_6740.sv,N/A,MOVE,HIGH,Issue #6740 reproduction

# Unclear names in to_test/ - Need rename and validation
planv_tests/feature_tests/constrained_random/constraint_global/to_test/t_1.sv,planv_tests/feature_tests/randomization/constraint_blocks/global/,t_constraint_global_nested_membersel.sv,§18.5.8,RENAME_MOVE,HIGH,Tests global constraints with nested member access and array indexing
planv_tests/feature_tests/constrained_random/constraint_global/to_test/t_2.sv,planv_tests/feature_tests/randomization/constraint_blocks/inheritance/,t_constraint_inheritance_nested_classes.sv,§18.5.2,RENAME_MOVE,HIGH,Tests constraint inheritance with deeply nested classes
planv_tests/feature_tests/constrained_random/constraint_global/to_test/t_arr_sel.sv,planv_tests/feature_tests/randomization/constraint_blocks/global/,t_constraint_global_array_selection.sv,§18.5.8,RENAME_MOVE,HIGH,Tests global constraints with array element selection
planv_tests/feature_tests/constrained_random/constraint_global/to_test/t_poly.sv,planv_tests/feature_tests/randomization/constraint_blocks/inheritance/,t_constraint_inheritance_polymorphism.sv,§18.5.2,RENAME_MOVE,HIGH,Tests polymorphism with constraints (commented code suggests incomplete test)
planv_tests/feature_tests/constrained_random/constraint_global/to_test/t_global_off_1.sv,planv_tests/feature_tests/randomization/constraint_blocks/global/,t_constraint_global_nested_objects.sv,§18.5.8,RENAME_MOVE,HIGH,Tests global constraints with nested object member access

# std_randomize unclear names
planv_tests/feature_tests/constrained_random/std_randomize/t_bad.sv,planv_tests/feature_tests/randomization/std_randomize/invalid_usage/,t_std_randomize_invalid_args.sv,§18.12,RENAME_MOVE,HIGH,Tests error detection for invalid std::randomize() arguments (method calls etc.)
planv_tests/feature_tests/constrained_random/std_randomize/t_error.sv,planv_tests/feature_tests/randomization/std_randomize/basic/,t_std_randomize_local_vars.sv,§18.12,RENAME_MOVE,MEDIUM,Tests std::randomize with local variables (no test body - incomplete?)
planv_tests/feature_tests/constrained_random/std_randomize/t_no_args.sv,planv_tests/feature_tests/randomization/std_randomize/basic/,t_std_randomize_no_args.sv,§18.12,RENAME_MOVE,MEDIUM,Tests std::randomize() with no arguments
planv_tests/feature_tests/constrained_random/std_randomize/t_two_errors.sv,planv_tests/feature_tests/randomization/randomization_methods/inline_constraints/,t_randomize_inline_with_member_vars.sv,§18.7,RENAME_MOVE,MEDIUM,Tests this.randomize() with inline constraints - tests bug fix

# Status subdirectories - Need deduplication analysis first
planv_tests/feature_tests/constrained_random/constraint_global/to_test/t_global_rand.sv,TBD,TBD,§18.5.8,ANALYZE_DUPLICATE,HIGH,Check if duplicate of other t_global_rand* files
planv_tests/feature_tests/constrained_random/constraint_global/to_test/t_global_rand_t2.sv,TBD,TBD,§18.5.8,ANALYZE_DUPLICATE,HIGH,Check if duplicate of other t_global_rand* files
planv_tests/feature_tests/constrained_random/constraint_global/to_test/test_edge_cases_nested.sv,TBD,TBD,§18.5.8,ANALYZE_DUPLICATE,MEDIUM,Exists in multiple subdirs - need dedup
planv_tests/feature_tests/constrained_random/constraint_global/to_test/test_simple_nested_constraints.sv,TBD,TBD,§18.5.8,ANALYZE_DUPLICATE,MEDIUM,Exists in multiple subdirs - need dedup
planv_tests/feature_tests/constrained_random/constraint_global/to_test/t_randomize_with.sv,TBD,TBD,§18.7,ANALYZE_DUPLICATE,MEDIUM,Exists in multiple subdirs - need dedup

# constraint_blocks/ - Already well-named, just reorganize into subdirs
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_basic_test.sv,planv_tests/feature_tests/randomization/constraint_blocks/basic/,t_constraint_basic_test.sv,§18.5,MOVE,MEDIUM,Basic constraint test
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_conditional.sv,planv_tests/feature_tests/randomization/constraint_blocks/conditional/,t_constraint_conditional.sv,§18.5.6,MOVE,MEDIUM,if-else constraints
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_dist.sv,planv_tests/feature_tests/randomization/constraint_blocks/distribution/,t_constraint_dist.sv,§18.5.3,MOVE,MEDIUM,Distribution constraints (dist)
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_extern.sv,planv_tests/feature_tests/randomization/constraint_blocks/external/,t_constraint_extern.sv,§18.5.1,MOVE,MEDIUM,External constraint blocks
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_foreach.sv,planv_tests/feature_tests/randomization/constraint_blocks/iterative/foreach/,t_constraint_foreach.sv,§18.5.7.1,MOVE,MEDIUM,foreach iterative constraints
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_functions.sv,planv_tests/feature_tests/randomization/constraint_blocks/functions/,t_constraint_functions.sv,§18.5.11,MOVE,MEDIUM,Functions in constraints
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_global.sv,planv_tests/feature_tests/randomization/constraint_blocks/global/,t_constraint_global_basic.sv,§18.5.8,RENAME_MOVE,MEDIUM,Basic global constraints - rename to avoid ambiguity
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_membersel_randmode.sv,planv_tests/feature_tests/randomization/constraint_control/rand_mode/,t_rand_mode_membersel.sv,§18.8,RENAME_MOVE,MEDIUM,Tests rand_mode() with member selection
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_order.sv,planv_tests/feature_tests/randomization/constraint_blocks/ordering/,t_constraint_solve_before.sv,§18.5.9,RENAME_MOVE,MEDIUM,solve...before ordering
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_pure.sv,planv_tests/feature_tests/randomization/constraint_blocks/functions/,t_constraint_pure_functions.sv,§18.5.11,RENAME_MOVE,MEDIUM,Pure functions in constraints
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_randmode.sv,planv_tests/feature_tests/randomization/constraint_control/rand_mode/,t_rand_mode_basic.sv,§18.8,RENAME_MOVE,MEDIUM,Basic rand_mode() tests
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_real.sv,planv_tests/feature_tests/randomization/rand_variables/basic_types/,t_rand_real_type.sv,§18.4,RENAME_MOVE,MEDIUM,Real number random variables
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_soft.sv,planv_tests/feature_tests/randomization/constraint_control/soft_constraints/,t_constraint_soft.sv,§18.5,MOVE,MEDIUM,Soft constraints
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_solvebefore.sv,planv_tests/feature_tests/randomization/constraint_blocks/ordering/,t_constraint_solve_before_complex.sv,§18.5.9,RENAME_MOVE,MEDIUM,Complex solve...before scenarios
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_static.sv,planv_tests/feature_tests/randomization/constraint_blocks/static/,t_constraint_static.sv,§18.5.10,MOVE,MEDIUM,Static constraint blocks
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_unique.sv,planv_tests/feature_tests/randomization/constraint_blocks/uniqueness/,t_constraint_unique.sv,§18.5.4,MOVE,MEDIUM,Uniqueness constraints (already in uniqueness subdir)
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_unsat.sv,planv_tests/feature_tests/randomization/special_cases/edge_cases/,t_constraint_unsatisfiable.sv,N/A,RENAME_MOVE,MEDIUM,Tests unsatisfiable constraints (error detection)
planv_tests/feature_tests/constrained_random/constraint_blocks/t_constraint_with.sv,planv_tests/feature_tests/randomization/randomization_methods/inline_constraints/,t_randomize_with_basic.sv,§18.7,RENAME_MOVE,MEDIUM,Basic randomize() with {} syntax
planv_tests/feature_tests/constrained_random/constraint_blocks/t_randomize_gen.sv,planv_tests/feature_tests/randomization/randomization_methods/basic/,t_randomize_gen.sv,§18.6,MOVE,MEDIUM,General randomize() method tests
planv_tests/feature_tests/constrained_random/constraint_blocks/t_rand_randcase.sv,planv_tests/feature_tests/randomization/randcase/,t_randcase_basic.sv,§18.16,RENAME_MOVE,LOW,randcase statement (different feature from constraints)

# constraint_unique/ - Already in correct subdir structure
planv_tests/feature_tests/constrained_random/constraint_unique/t_constraint_unique_edge_cases.sv,planv_tests/feature_tests/randomization/constraint_blocks/uniqueness/,t_constraint_unique_edge_cases.sv,§18.5.4,MOVE,MEDIUM,Edge cases for unique constraints
planv_tests/feature_tests/constrained_random/constraint_unique/t_constraint_unique_naming.sv,planv_tests/feature_tests/randomization/constraint_blocks/uniqueness/,t_constraint_unique_naming.sv,§18.5.4,MOVE,MEDIUM,Unique constraint naming tests
planv_tests/feature_tests/constrained_random/constraint_unique/t_constraint_unique_stress.sv,planv_tests/feature_tests/randomization/constraint_blocks/uniqueness/,t_constraint_unique_stress.sv,§18.5.4,MOVE,MEDIUM,Stress tests for unique constraints

# constraint_global/ top-level files - Well-named, just move
planv_tests/feature_tests/constrained_random/constraint_global/t_constraint_global_randMode.sv,planv_tests/feature_tests/randomization/constraint_blocks/global/,t_constraint_global_rand_mode.sv,§18.5.8 + §18.8,RENAME_MOVE,MEDIUM,Global constraints with rand_mode()
planv_tests/feature_tests/constrained_random/constraint_global/t_constraints_global_static_member.sv,planv_tests/feature_tests/randomization/constraint_blocks/global/,t_constraint_global_static_member.sv,§18.5.8,RENAME_MOVE,MEDIUM,Global constraints with static members
planv_tests/feature_tests/constrained_random/constraint_global/t_constraints_global_static_member_1.sv,planv_tests/feature_tests/randomization/constraint_blocks/global/,t_constraint_global_static_member_v1.sv,§18.5.8,RENAME_MOVE,MEDIUM,Global constraints with static members (variant 1)
planv_tests/feature_tests/constrained_random/constraint_global/t_constraints_global_static_member_2.sv,planv_tests/feature_tests/randomization/constraint_blocks/global/,t_constraint_global_static_member_v2.sv,§18.5.8,RENAME_MOVE,MEDIUM,Global constraints with static members (variant 2)
planv_tests/feature_tests/constrained_random/constraint_global/t_fix_global_constraints.sv,planv_tests/feature_tests/randomization/constraint_blocks/global/,t_constraint_global_bug_fix.sv,§18.5.8,RENAME_MOVE,MEDIUM,Bug fix test for global constraints

# random_variables/Array/ - Reorganize by array type
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_1D_mixed_array_1.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/mixed/,t_constraint_array_1d_mixed_v1.sv,§18.4,RENAME_MOVE,MEDIUM,1D mixed array constraints (variant 1)
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_1D_mixed_array_2.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/mixed/,t_constraint_array_1d_mixed_v2.sv,§18.4,RENAME_MOVE,MEDIUM,1D mixed array constraints (variant 2)
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_assoc_array_all.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/associative/,t_constraint_assoc_array_all.sv,§18.4,MOVE,MEDIUM,Comprehensive associative array tests
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_assoc_array_basic.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/associative/,t_constraint_assoc_array_basic.sv,§18.4,MOVE,MEDIUM,Basic associative array constraints
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_assoc_array_foreach.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/associative/,t_constraint_assoc_array_foreach.sv,§18.4,MOVE,MEDIUM,Associative array with foreach
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_assoc_array_string_format.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/associative/,t_constraint_assoc_array_string_format.sv,§18.4,MOVE,MEDIUM,Associative array with string index
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_assoc_array_with_64BitMore_index.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/associative/,t_constraint_assoc_array_64bit_index.sv,§18.4,RENAME_MOVE,MEDIUM,Associative array with 64+ bit index
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_assoc_array_with_class_index.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/associative/,t_constraint_assoc_array_class_index.sv,§18.4,RENAME_MOVE,MEDIUM,Associative array with class index
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_assoc_array_with_userDefinedTypes_index.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/associative/,t_constraint_assoc_array_custom_index.sv,§18.4,RENAME_MOVE,MEDIUM,Associative array with user-defined type index
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_assoc_array_with_wildcard_index.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/associative/,t_constraint_assoc_array_wildcard_index.sv,§18.4,RENAME_MOVE,MEDIUM,Associative array with wildcard index
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_dynamic_arrays.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/dynamic/,t_constraint_dynamic_arrays.sv,§18.4,MOVE,MEDIUM,Dynamic array constraints
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_dyn_queue_basic.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/mixed/,t_constraint_dynamic_queue_basic.sv,§18.4,RENAME_MOVE,MEDIUM,Dynamic arrays and queues basic test
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_packed_array.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/packed/,t_constraint_packed_array.sv,§18.4,MOVE,MEDIUM,Packed array constraints
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_queue.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/queue/,t_constraint_queue.sv,§18.4,MOVE,MEDIUM,Queue constraints
planv_tests/feature_tests/constrained_random/random_variables/Array/t_constraint_unpacked_arrays.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/unpacked/,t_constraint_unpacked_arrays.sv,§18.4,MOVE,MEDIUM,Unpacked array constraints
planv_tests/feature_tests/constrained_random/random_variables/Array/t_rand_assoc_arr.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/associative/,t_rand_assoc_arr.sv,§18.4,MOVE,MEDIUM,Random associative array (no constraints)
planv_tests/feature_tests/constrained_random/random_variables/Array/t_rand_dyn_arr.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/dynamic/,t_rand_dyn_arr.sv,§18.4,MOVE,MEDIUM,Random dynamic array (no constraints)
planv_tests/feature_tests/constrained_random/random_variables/Array/t_rand_mixed_array_types.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/mixed/,t_rand_mixed_array_types.sv,§18.4,MOVE,MEDIUM,Mixed array types randomization
planv_tests/feature_tests/constrained_random/random_variables/Array/t_rand_packed_array.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/packed/,t_rand_packed_array.sv,§18.4,MOVE,MEDIUM,Random packed array (no constraints)
planv_tests/feature_tests/constrained_random/random_variables/Array/t_rand_queue.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/queue/,t_rand_queue.sv,§18.4,MOVE,MEDIUM,Random queue (no constraints)
planv_tests/feature_tests/constrained_random/random_variables/Array/t_rand_unpacked_array.sv,planv_tests/feature_tests/randomization/rand_variables/arrays/unpacked/,t_rand_unpacked_array.sv,§18.4,MOVE,MEDIUM,Random unpacked array (no constraints)

# random_variables/ top-level - Organize by data type
planv_tests/feature_tests/constrained_random/random_variables/t_constraint_basic_types.sv,planv_tests/feature_tests/randomization/rand_variables/basic_types/,t_constraint_basic_types.sv,§18.4,MOVE,MEDIUM,Basic data types with constraints
planv_tests/feature_tests/constrained_random/random_variables/t_constraint_data_types.sv,planv_tests/feature_tests/randomization/rand_variables/basic_types/,t_constraint_data_types.sv,§18.4,MOVE,MEDIUM,Various data types with constraints
planv_tests/feature_tests/constrained_random/random_variables/t_constraint_struct.sv,planv_tests/feature_tests/randomization/rand_variables/struct_union/,t_constraint_struct.sv,§18.4,MOVE,MEDIUM,Struct constraints
planv_tests/feature_tests/constrained_random/random_variables/t_constraint_struct_complex.sv,planv_tests/feature_tests/randomization/rand_variables/struct_union/,t_constraint_struct_complex.sv,§18.4,MOVE,MEDIUM,Complex struct constraints
planv_tests/feature_tests/constrained_random/random_variables/t_constraint_struct_union.sv,planv_tests/feature_tests/randomization/rand_variables/struct_union/,t_constraint_struct_union.sv,§18.4,MOVE,MEDIUM,Struct and union constraints
planv_tests/feature_tests/constrained_random/random_variables/t_constraint_union.sv,planv_tests/feature_tests/randomization/rand_variables/struct_union/,t_constraint_union.sv,§18.4,MOVE,MEDIUM,Union constraints
planv_tests/feature_tests/constrained_random/random_variables/t_rand_basic_types.sv,planv_tests/feature_tests/randomization/rand_variables/basic_types/,t_rand_basic_types.sv,§18.4,MOVE,MEDIUM,Random basic types (no constraints)
planv_tests/feature_tests/constrained_random/random_variables/t_rand_struct.sv,planv_tests/feature_tests/randomization/rand_variables/struct_union/,t_rand_struct.sv,§18.4,MOVE,MEDIUM,Random struct (no constraints)
planv_tests/feature_tests/constrained_random/random_variables/t_rand_struct_union.sv,planv_tests/feature_tests/randomization/rand_variables/struct_union/,t_rand_struct_union.sv,§18.4,MOVE,MEDIUM,Random struct and union (no constraints)
planv_tests/feature_tests/constrained_random/random_variables/t_rand_union.sv,planv_tests/feature_tests/randomization/rand_variables/struct_union/,t_rand_union.sv,§18.4,MOVE,MEDIUM,Random union (no constraints)

# std_randomize/ - Already organized, just move passed/failed to proper subdirs
planv_tests/feature_tests/constrained_random/std_randomize/t_scope_std_randomize.sv,planv_tests/feature_tests/randomization/std_randomize/basic/,t_std_randomize_scope_vars.sv,§18.12,RENAME_MOVE,MEDIUM,Duplicate file exists in passed/ subdir - need dedup
planv_tests/feature_tests/constrained_random/std_randomize/passed/t_scope_std_randomize.sv,planv_tests/feature_tests/randomization/std_randomize/basic/,t_std_randomize_scope_vars.sv,§18.12,ANALYZE_DUPLICATE,MEDIUM,Check if duplicate of parent dir version
planv_tests/feature_tests/constrained_random/std_randomize/passed/t_scope_std_randomize_invalid_args.sv,planv_tests/feature_tests/randomization/std_randomize/invalid_usage/,t_std_randomize_invalid_args_v2.sv,§18.12,ANALYZE_DUPLICATE,MEDIUM,May duplicate t_bad.sv
planv_tests/feature_tests/constrained_random/std_randomize/passed/t_scope_std_randomize_undefined_var_bad.sv,planv_tests/feature_tests/randomization/std_randomize/invalid_usage/,t_std_randomize_undefined_var.sv,§18.12,RENAME_MOVE,MEDIUM,Tests error for undefined variable
planv_tests/feature_tests/constrained_random/std_randomize/failed/t_multi.sv,planv_tests/feature_tests/randomization/std_randomize/invalid_usage/,t_std_randomize_multi_vars.sv,§18.12,RENAME_MOVE,LOW,In failed/ - need to check if should fail or is broken
planv_tests/feature_tests/constrained_random/std_randomize/failed/t_std_randomize_with.sv,planv_tests/feature_tests/randomization/std_randomize/basic/,t_std_randomize_with_constraints.sv,§18.12,RENAME_MOVE,LOW,In failed/ - need to check status
planv_tests/feature_tests/constrained_random/std_randomize/passed_but_need_warning/t_scope_std_randomize_class_bad1.sv,planv_tests/feature_tests/randomization/std_randomize/invalid_usage/,t_std_randomize_class_member_bad_v1.sv,§18.12,RENAME_MOVE,MEDIUM,Should generate warning - special handling
planv_tests/feature_tests/constrained_random/std_randomize/passed_but_need_warning/t_scope_std_randomize_class_bad2.sv,planv_tests/feature_tests/randomization/std_randomize/invalid_usage/,t_std_randomize_class_member_bad_v2.sv,§18.12,RENAME_MOVE,MEDIUM,Should generate warning - special handling

# Status subdirectories - Archive/analyze after deduplication
planv_tests/feature_tests/constrained_random/constraint_global/9_19/,_archived/20250112_pre_refactor/constraint_global/9_19/,N/A,N/A,ARCHIVE,LOW,Branch-specific test results - archive entire directory
planv_tests/feature_tests/constrained_random/constraint_global/master/,_archived/20250112_pre_refactor/constraint_global/master/,N/A,N/A,ARCHIVE,LOW,Branch-specific test results - archive entire directory after extracting unique tests
planv_tests/feature_tests/constrained_random/constraint_global/passed/,_archived/20250112_pre_refactor/constraint_global/passed/,N/A,N/A,ARCHIVE,LOW,Status subdir - archive after deduplication
